batch_size,dropout_rate,fc_layer_size,learning_rate,optimizer,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
"""128""",0.5,"""512""",0.001,"""rmsprop""",pytorch-training-240801-1924-008-3239818c,Completed,77.99,2024-08-01 19:37:05+00:00,2024-08-01 19:44:45+00:00,460.0
"""128""",0.5,"""256""",0.001,"""rmsprop""",pytorch-training-240801-1924-007-42fa60cf,Completed,63.28,2024-08-01 19:37:03+00:00,2024-08-01 19:44:46+00:00,463.0
"""128""",0.473,"""512""",0.00011905210799879575,"""adam""",pytorch-training-240801-1924-006-a76a076a,Completed,71.41,2024-08-01 19:37:03+00:00,2024-08-01 19:44:44+00:00,461.0
"""64""",0.492,"""256""",0.0008403039829451701,"""rmsprop""",pytorch-training-240801-1924-005-cee15837,Completed,76.32,2024-08-01 19:37:00+00:00,2024-08-01 19:44:40+00:00,460.0
"""128""",0.495,"""256""",0.0005100192851655467,"""rmsprop""",pytorch-training-240801-1924-004-a572276c,Completed,73.56,2024-08-01 19:25:04+00:00,2024-08-01 19:36:02+00:00,658.0
"""128""",0.463,"""256""",1.9529031338680903e-05,"""adam""",pytorch-training-240801-1924-003-950e7a6c,Completed,22.61,2024-08-01 19:24:52+00:00,2024-08-01 19:36:04+00:00,672.0
"""128""",0.42,"""256""",0.00032961583564618697,"""rmsprop""",pytorch-training-240801-1924-002-d813dd15,Completed,71.77,2024-08-01 19:24:50+00:00,2024-08-01 19:35:58+00:00,668.0
"""64""",0.353,"""256""",7.934427214012588e-05,"""rmsprop""",pytorch-training-240801-1924-001-cd94c0a3,Completed,67.11,2024-08-01 19:24:53+00:00,2024-08-01 19:35:56+00:00,663.0
